name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Samuel Prentice,"PhD Student, MIT",Samuel Prentice,Samuel Prentice,Samuel Prentice,Samuel Prentice,Samuel Prentice,Samuel Prentice
Cheston Tan,Institute for Infocomm Research,Cheston Tan,Cheston Tan,Cheston Tan,Cheston Tan,Cheston Tan,Cheston Tan
Gyorgy Buzsaki,NYU Neuroscience Institute,Gyorgy Buzsaki,Gyorgy Buzsaki,Gyorgy Buzsaki,Gyorgy Buzsaki,Gyorgy Buzsaki,Gyorgy Buzsaki
Michael Maire,University of Chicago,Michael Maire,Michael Maire,Michael Maire,Michael Maire,Michael Maire,Michael Maire
Estibaliz Garrote,"Researcher, Tecnalia",Estibaliz Garrote,Estibaliz Garrote,Estibaliz Garrote,Estibaliz Garrote,Estibaliz Garrote,Estibaliz Garrote
Lihi Zelnik-Manor,Technion - Israel Institute of Technology,Lihi Zelnik-Manor,Lihi Zelnik-Manor,Lihi Zelnik-Manor,Lihi Zelnik-Manor,Lihi Zelnik-Manor,Lihi Zelnik-Manor
Nancy Kanwisher,Walter A. Rosenblith Professor of Cognitive Neuroscience,Nancy Kanwisher,Nancy Kanwisher,Nancy Kanwisher,Nancy Kanwisher,Nancy Kanwisher,Nancy Kanwisher
Hrushikesh Mhaskar,Claremont Graduate University,Hrushikesh Mhaskar,Hrushikesh Mhaskar,Hrushikesh Mhaskar,Hrushikesh Mhaskar,Hrushikesh Mhaskar,Hrushikesh Mhaskar
Wolf Singer,"Professor für Neuroscience, Max Planck Institute",Wolf Singer,Wolf Singer,Wolf Singer,Wolf Singer,Wolf Singer,Wolf Singer
Haim Sompolinsky,"Professor of Physics, Racah Institute of Physics, Edmond and Lily Safra Center for Brain Sciences",Haim Sompolinsky,Haim Sompolinsky,Haim Sompolinsky,Haim Sompolinsky,Haim Sompolinsky,Haim Sompolinsky
Brandon C. Roy,MIT,Brandon C. Roy,Brandon C. Roy,Brandon C. Roy,Brandon C. Roy,Brandon C. Roy,Brandon C. Roy
Carlo Ciliberto,University College London,Carlo Ciliberto,Carlo Ciliberto,Carlo Ciliberto,Carlo Ciliberto,Carlo Ciliberto,Carlo Ciliberto
Tim Wiltshire,"Associate Professor, Eshelman School of  Pharmacy, University of North Carolina",Tim Wiltshire,Tim Wiltshire,Tim Wiltshire,Tim Wiltshire,Tim Wiltshire,Tim Wiltshire
Rodney Douglas,Professor of Computational Neuroscience,Rodney Douglas,Rodney Douglas,Rodney Douglas,Rodney Douglas,Rodney Douglas,Rodney Douglas
Heinrich H. Bülthoff,Emeritus Director at Max Planck Institute for Biological Cybernetics,Heinrich H. Bülthoff,Heinrich H. Bülthoff,Heinrich H. Bülthoff,Heinrich H. Bülthoff,Heinrich H. Bülthoff,Heinrich H. Bülthoff
Tejas Kulkarni,"DeepMind, Massachusetts Institute of Technology",Tejas Kulkarni,Tejas Kulkarni,Tejas Kulkarni,Tejas Kulkarni,Tejas Kulkarni,Tejas Kulkarni
Serge Batalov,Sr. Bioinformaticist,Serge Batalov,Serge Batalov,Serge Batalov,Serge Batalov,Serge Batalov,Serge Batalov
Mark Steyvers,"University of California, Irvine",Mark Steyvers,Mark Steyvers,Mark Steyvers,Mark Steyvers,Mark Steyvers,Mark Steyvers
Jonathan Harel,California Institute of Technology,Jonathan Harel,Jonathan Harel,Jonathan Harel,Jonathan Harel,Jonathan Harel,Jonathan Harel
Michael  E Greenberg,Unknown affiliation,Michael  E Greenberg,Michael  E Greenberg,Michael  E Greenberg,Michael  E Greenberg,Michael  E Greenberg,Michael  E Greenberg
Jitendra Malik,"Professor of EECS, UC Berkeley",Jitendra Malik,Jitendra Malik,Jitendra Malik,Jitendra Malik,Jitendra Malik,Jitendra Malik
Joel Z Leibo,Research scientist,Joel Z Leibo,Joel Z Leibo,Joel Z Leibo,Joel Z Leibo,Joel Z Leibo,Joel Z Leibo
Robin Deits,"Graduate Student, Computer Science and Artificial Intelligence Laboratory, MIT",Robin Deits,Robin Deits,Robin Deits,Robin Deits,Robin Deits,Robin Deits
Steven L. Bressler,Florida Atlantic University,Steven L. Bressler,Steven L. Bressler,Steven L. Bressler,Steven L. Bressler,Steven L. Bressler,Steven L. Bressler
Girish Chowdhary,Assoc. Professor of Agricultural Engineering and Computer Science,Girish Chowdhary,Girish Chowdhary,Girish Chowdhary,Girish Chowdhary,Girish Chowdhary,Girish Chowdhary
Annalisa Barla,"Associate Professor at Computer Science Department, University of Genoa, Italy",Annalisa Barla,Annalisa Barla,Annalisa Barla,Annalisa Barla,Annalisa Barla,Annalisa Barla
Charles J. Bruce,"Associate Professor of Neurobiology, Yale Univ",Charles J. Bruce,Charles J. Bruce,Charles J. Bruce,Charles J. Bruce,Charles J. Bruce,Charles J. Bruce
