name,affiliation,home_page,google_profile,keywords,most_cited_paper,cited_by,most_cited_year
Twan Koolen,"Robotics Engineer, Boston Dynamics",Twan Koolen,Twan Koolen,Twan Koolen,Twan Koolen,Twan Koolen,Twan Koolen
Maurice Fallon,"Associate Professor, University of Oxford",Maurice Fallon,Maurice Fallon,Maurice Fallon,Maurice Fallon,Maurice Fallon,Maurice Fallon
Andrés Valenzuela,"Research Scientist, Toyota Research Institute",Andrés Valenzuela,Andrés Valenzuela,Andrés Valenzuela,Andrés Valenzuela,Andrés Valenzuela,Andrés Valenzuela
Pat Marion,"Computer Science and Artificial Intelligence Laboratory, MIT",Pat Marion,Pat Marion,Pat Marion,Pat Marion,Pat Marion,Pat Marion
Hongkai Dai,Toyota Research Institute,Hongkai Dai,Hongkai Dai,Hongkai Dai,Hongkai Dai,Hongkai Dai,Hongkai Dai
Claudia Pérez D'Arpino,Stanford University,Claudia Pérez D'Arpino,Claudia Pérez D'Arpino,Claudia Pérez D'Arpino,Claudia Pérez D'Arpino,Claudia Pérez D'Arpino,Claudia Pérez D'Arpino
Dan Dorsch,MIT,Dan Dorsch,Dan Dorsch,Dan Dorsch,Dan Dorsch,Dan Dorsch,Dan Dorsch
Frank Permenter,Toyota Research Institute,Frank Permenter,Frank Permenter,Frank Permenter,Frank Permenter,Frank Permenter,Frank Permenter
Sisir Karumanchi,Amazon Robotics AI,Sisir Karumanchi,Sisir Karumanchi,Sisir Karumanchi,Sisir Karumanchi,Sisir Karumanchi,Sisir Karumanchi
Julie Shah,"Professor, Department of Aeronautics and Astronautics, MIT",Julie Shah,Julie Shah,Julie Shah,Julie Shah,Julie Shah,Julie Shah
Kuan-Ting Yu,XYZ Robotics,Kuan-Ting Yu,Kuan-Ting Yu,Kuan-Ting Yu,Kuan-Ting Yu,Kuan-Ting Yu,Kuan-Ting Yu
Karl Iagnemma,"Principal Research Scientist, Massachusetts Institute of Technology",Karl Iagnemma,Karl Iagnemma,Karl Iagnemma,Karl Iagnemma,Karl Iagnemma,Karl Iagnemma
Michael Posa,"Assistant Professor, University of Pennsylvania",Michael Posa,Michael Posa,Michael Posa,Michael Posa,Michael Posa,Michael Posa
Kevin H. Knuth,"Associate Professor of Physics and Informatics, University at Albany",Kevin H. Knuth,Kevin H. Knuth,Kevin H. Knuth,Kevin H. Knuth,Kevin H. Knuth,Kevin H. Knuth
J A Scott Kelso,"Florida Atlantic University, University of Ulster",J A Scott Kelso,J A Scott Kelso,J A Scott Kelso,J A Scott Kelso,J A Scott Kelso,J A Scott Kelso
Nelson Morgan,ICSI,Nelson Morgan,Nelson Morgan,Nelson Morgan,Nelson Morgan,Nelson Morgan,Nelson Morgan
Charles E. Schroeder,"Nathan Kline Institute, Professor of Psychiatry, Columbia University College of Physicians and Surgeons",Charles E. Schroeder,Charles E. Schroeder,Charles E. Schroeder,Charles E. Schroeder,Charles E. Schroeder,Charles E. Schroeder
Vinod Menon,"Professor of Psychiatry, Neurology and Neuroscience, Stanford University",Vinod Menon,Vinod Menon,Vinod Menon,Vinod Menon,Vinod Menon,Vinod Menon
Anders Ledberg,"Researcher, Department of public health sciences , Stockholm University",Anders Ledberg,Anders Ledberg,Anders Ledberg,Anders Ledberg,Anders Ledberg,Anders Ledberg
Wei Tang,"Assistant Scientist, Luddy School of Informatics, Computing and Engineering, Indiana University",Wei Tang,Wei Tang,Wei Tang,Wei Tang,Wei Tang,Wei Tang
Maurizio Corbetta,"Chair and Professor of Neurology, University of Padua, Italy",Maurizio Corbetta,Maurizio Corbetta,Maurizio Corbetta,Maurizio Corbetta,Maurizio Corbetta,Maurizio Corbetta
Andrea Brovelli,"Institut de Neurosciences de la Timone (INT), CNRS & Aix-Marseille Université, France",Andrea Brovelli,Andrea Brovelli,Andrea Brovelli,Andrea Brovelli,Andrea Brovelli,Andrea Brovelli
Anil Seth,Sussex University,Anil Seth,Anil Seth,Anil Seth,Anil Seth,Anil Seth,Anil Seth
Gene Wallenstein,"Team Lead, Outcomes & Evidence, Immunology, Pfizer Inc.",Gene Wallenstein,Gene Wallenstein,Gene Wallenstein,Gene Wallenstein,Gene Wallenstein,Gene Wallenstein
Richard M. Leahy,Leonard Silverman Chair in Electrical and Computer Engineering University of Southern California,Richard M. Leahy,Richard M. Leahy,Richard M. Leahy,Richard M. Leahy,Richard M. Leahy,Richard M. Leahy
Emmanuelle Tognoli,"Research Professor - Complex Systems and Brain Sciences, Florida Atlantic University",Emmanuelle Tognoli,Emmanuelle Tognoli,Emmanuelle Tognoli,Emmanuelle Tognoli,Emmanuelle Tognoli,Emmanuelle Tognoli
Eric N Johnson,"Professor of Aerospace Engineering, Pennsylvania State University",Eric N Johnson,Eric N Johnson,Eric N Johnson,Eric N Johnson,Eric N Johnson,Eric N Johnson
Hassan Kingravi,"Staff Data Scientist, Mailchimp",Hassan Kingravi,Hassan Kingravi,Hassan Kingravi,Hassan Kingravi,Hassan Kingravi,Hassan Kingravi
John Vian,Unknown affiliation,John Vian,John Vian,John Vian,John Vian,John Vian,John Vian
Maximilian Mühlegg,Technische Universität München,Maximilian Mühlegg,Maximilian Mühlegg,Maximilian Mühlegg,Maximilian Mühlegg,Maximilian Mühlegg,Maximilian Mühlegg
Harshal Maske,Research Engineer,Harshal Maske,Harshal Maske,Harshal Maske,Harshal Maske,Harshal Maske,Harshal Maske
Mykel J. Kochenderfer,"Associate Professor, Stanford University",Mykel J. Kochenderfer,Mykel J. Kochenderfer,Mykel J. Kochenderfer,Mykel J. Kochenderfer,Mykel J. Kochenderfer,Mykel J. Kochenderfer
Tansel Yucelen,"Laboratory for Autonomy, Control, Information, and Systems (LACIS); University of South Florida",Tansel Yucelen,Tansel Yucelen,Tansel Yucelen,Tansel Yucelen,Tansel Yucelen,Tansel Yucelen
Allan Max Axelrod,University of Illinois at Urbana Champaign,Allan Max Axelrod,Allan Max Axelrod,Allan Max Axelrod,Allan Max Axelrod,Allan Max Axelrod,Allan Max Axelrod
Patricio A. Vela,Associate Professor of Electrical and Computer Engineering,Patricio A. Vela,Patricio A. Vela,Patricio A. Vela,Patricio A. Vela,Patricio A. Vela,Patricio A. Vela
Erkan Kayacan,University of Oklahoma,Erkan Kayacan,Erkan Kayacan,Erkan Kayacan,Erkan Kayacan,Erkan Kayacan,Erkan Kayacan
Thomas J. Walsh,MIT,Thomas J. Walsh,Thomas J. Walsh,Thomas J. Walsh,Thomas J. Walsh,Thomas J. Walsh,Thomas J. Walsh
Robert C Grande,Masters Candidate at Massachusetts Institute of Technology,Robert C Grande,Robert C Grande,Robert C Grande,Robert C Grande,Robert C Grande,Robert C Grande
Florian Holzapfel,"Professor for Flight System Dynamics, Technische Universität München",Florian Holzapfel,Florian Holzapfel,Florian Holzapfel,Florian Holzapfel,Florian Holzapfel,Florian Holzapfel
John F. Quindlen,Boeing Research and Technology,John F. Quindlen,John F. Quindlen,John F. Quindlen,John F. Quindlen,John F. Quindlen,John F. Quindlen
Girish Joshi,Mathworks,Girish Joshi,Girish Joshi,Girish Joshi,Girish Joshi,Girish Joshi,Girish Joshi
Prabhakar R. Pagilla,Professor of Mechanical Engineering,Prabhakar R. Pagilla,Prabhakar R. Pagilla,Prabhakar R. Pagilla,Prabhakar R. Pagilla,Prabhakar R. Pagilla,Prabhakar R. Pagilla
Margherita Squillario,"PhD in Informatics, DIBRIS University of Genoa",Margherita Squillario,Margherita Squillario,Margherita Squillario,Margherita Squillario,Margherita Squillario,Margherita Squillario
Cesare Furlanello,"HK3 Lab (Rovereto/Milano, Italy)",Cesare Furlanello,Cesare Furlanello,Cesare Furlanello,Cesare Furlanello,Cesare Furlanello,Cesare Furlanello
Giuseppe Jurman,"Fondazione Bruno Kessler, Trento, Italy",Giuseppe Jurman,Giuseppe Jurman,Giuseppe Jurman,Giuseppe Jurman,Giuseppe Jurman,Giuseppe Jurman
Samuele Fiorini,University of Genoa,Samuele Fiorini,Samuele Fiorini,Samuele Fiorini,Samuele Fiorini,Samuele Fiorini,Samuele Fiorini
Luca Baldassarre,"Lead Data Scientist, Swiss Re",Luca Baldassarre,Luca Baldassarre,Luca Baldassarre,Luca Baldassarre,Luca Baldassarre,Luca Baldassarre
Veronica Tozzo,Post-doctoral fellow at Harvard Medical School and Massachusetts General Hospital,Veronica Tozzo,Veronica Tozzo,Veronica Tozzo,Veronica Tozzo,Veronica Tozzo,Veronica Tozzo
Stefano Merler,Bruno Kessler Foundation,Stefano Merler,Stefano Merler,Stefano Merler,Stefano Merler,Stefano Merler,Stefano Merler
Giampaolo Brichetto,"Coordinator Research in Rehabilitation, Scientific Research Area, Italian MS Society Foundation",Giampaolo Brichetto,Giampaolo Brichetto,Giampaolo Brichetto,Giampaolo Brichetto,Giampaolo Brichetto,Giampaolo Brichetto
Salvatore Masecchia,"DIBRIS, University of Genoa",Salvatore Masecchia,Salvatore Masecchia,Salvatore Masecchia,Salvatore Masecchia,Salvatore Masecchia,Salvatore Masecchia
Andrea Tacchino,Italian Multiple Sclerosis Foundation,Andrea Tacchino,Andrea Tacchino,Andrea Tacchino,Andrea Tacchino,Andrea Tacchino,Andrea Tacchino
Federico Tomasi,"Research Scientist, Spotify Research",Federico Tomasi,Federico Tomasi,Federico Tomasi,Federico Tomasi,Federico Tomasi,Federico Tomasi
Tiziana Sanavia,"Department of Medical Sciences, University of Torino",Tiziana Sanavia,Tiziana Sanavia,Tiziana Sanavia,Tiziana Sanavia,Tiziana Sanavia,Tiziana Sanavia
Barbara Di Camillo,"University of Padova, Information Engineering Department",Barbara Di Camillo,Barbara Di Camillo,Barbara Di Camillo,Barbara Di Camillo,Barbara Di Camillo,Barbara Di Camillo
Roberto Biassoni,Istituto G. Gaslini Genova,Roberto Biassoni,Roberto Biassoni,Roberto Biassoni,Roberto Biassoni,Roberto Biassoni,Roberto Biassoni
Nicoletta Noceti,MaLGa Machine Learning Genoa Center - Università degli Studi di Genova,Nicoletta Noceti,Nicoletta Noceti,Nicoletta Noceti,Nicoletta Noceti,Nicoletta Noceti,Nicoletta Noceti
gian andrea rollandi,direttore dipartimento area radiologica ospedale Galliera Genova,gian andrea rollandi,gian andrea rollandi,gian andrea rollandi,gian andrea rollandi,gian andrea rollandi,gian andrea rollandi
Jacqueline Gottlieb,Columbia University,Jacqueline Gottlieb,Jacqueline Gottlieb,Jacqueline Gottlieb,Jacqueline Gottlieb,Jacqueline Gottlieb,Jacqueline Gottlieb
Ioan Opris,University of Miami,Ioan Opris,Ioan Opris,Ioan Opris,Ioan Opris,Ioan Opris,Ioan Opris
Preston E. Garraghty,"Professor of Psychological and Brain Sciences, Indiana University",Preston E. Garraghty,Preston E. Garraghty,Preston E. Garraghty,Preston E. Garraghty,Preston E. Garraghty,Preston E. Garraghty
Patricia Goldman-Rakic (deceased),"Eugene Higgins Professor of Neuroscience, Yale University",Patricia Goldman-Rakic (deceased),Patricia Goldman-Rakic (deceased),Patricia Goldman-Rakic (deceased),Patricia Goldman-Rakic (deceased),Patricia Goldman-Rakic (deceased),Patricia Goldman-Rakic (deceased)
Xiong Jiang,"Department of Neuroscience, Georgetown University",Xiong Jiang,Xiong Jiang,Xiong Jiang,Xiong Jiang,Xiong Jiang,Xiong Jiang
Laurie Glezer,San Diego State University,Laurie Glezer,Laurie Glezer,Laurie Glezer,Laurie Glezer,Laurie Glezer,Laurie Glezer
John VanMeter,"Professor, Georgetown University",John VanMeter,John VanMeter,John VanMeter,John VanMeter,John VanMeter,John VanMeter
Robert Jacobs,"Professor of Brain and Cognitive Sciences, University of Rochester",Robert Jacobs,Robert Jacobs,Robert Jacobs,Robert Jacobs,Robert Jacobs,Robert Jacobs
Mario Belledonne,Graduate Student at Yale Psychology,Mario Belledonne,Mario Belledonne,Mario Belledonne,Mario Belledonne,Mario Belledonne,Mario Belledonne
Christopher J. Bates,"Postdoctoral Fellow, Harvard Psychology",Christopher J. Bates,Christopher J. Bates,Christopher J. Bates,Christopher J. Bates,Christopher J. Bates,Christopher J. Bates
Tim Florian Jaeger,"Brain and Cognitive Sciences, University of Rochester",Tim Florian Jaeger,Tim Florian Jaeger,Tim Florian Jaeger,Tim Florian Jaeger,Tim Florian Jaeger,Tim Florian Jaeger
Michael K Tanenhaus,"Beverly Petterson Bishop and Charles W. Bishop Professor of Brain and Cognitive Sciences, Emeritus",Michael K Tanenhaus,Michael K Tanenhaus,Michael K Tanenhaus,Michael K Tanenhaus,Michael K Tanenhaus,Michael K Tanenhaus
Judith Degen,"Assistant professor, Stanford University (Linguistics)",Judith Degen,Judith Degen,Judith Degen,Judith Degen,Judith Degen,Judith Degen
Goker Erdogan,Research Scientist at DeepMind,Goker Erdogan,Goker Erdogan,Goker Erdogan,Goker Erdogan,Goker Erdogan,Goker Erdogan
Pınar Yolum,Utrecht University,Pınar Yolum,Pınar Yolum,Pınar Yolum,Pınar Yolum,Pınar Yolum,Pınar Yolum
Lale Akarun,"Professor of Computer Engineering, Bogazici University",Lale Akarun,Lale Akarun,Lale Akarun,Lale Akarun,Lale Akarun,Lale Akarun
Oya Aran,"Professor, De La Salle University",Oya Aran,Oya Aran,Oya Aran,Oya Aran,Oya Aran,Oya Aran
Ifeoma Nwogu,"Computer Science and Engineering, University at Buffalo, SUNY",Ifeoma Nwogu,Ifeoma Nwogu,Ifeoma Nwogu,Ifeoma Nwogu,Ifeoma Nwogu,Ifeoma Nwogu
Gail Carpenter,"Professor Emerita of Mathematics and Statistics, Boston University",Gail Carpenter,Gail Carpenter,Gail Carpenter,Gail Carpenter,Gail Carpenter,Gail Carpenter
Stephen Grossberg,"Wang Professor of Cognitive and Neural Systems, Boston University",Stephen Grossberg,Stephen Grossberg,Stephen Grossberg,Stephen Grossberg,Stephen Grossberg,Stephen Grossberg
Mazyar Fallah,York University,Mazyar Fallah,Mazyar Fallah,Mazyar Fallah,Mazyar Fallah,Mazyar Fallah,Mazyar Fallah
Terrence Sejnowski,"Francis Crick Professor, Salk Institute, Distingished Professor, UC San Diego",Terrence Sejnowski,Terrence Sejnowski,Terrence Sejnowski,Terrence Sejnowski,Terrence Sejnowski,Terrence Sejnowski
Jonathan Nassi,"Senior Director of Translational Science, Inscopix Inc.",Jonathan Nassi,Jonathan Nassi,Jonathan Nassi,Jonathan Nassi,Jonathan Nassi,Jonathan Nassi
Anirvan Nandy,"Assistant Professor, Yale University",Anirvan Nandy,Anirvan Nandy,Anirvan Nandy,Anirvan Nandy,Anirvan Nandy,Anirvan Nandy
Tatiana Pasternak,University of Rochester,Tatiana Pasternak,Tatiana Pasternak,Tatiana Pasternak,Tatiana Pasternak,Tatiana Pasternak,Tatiana Pasternak
Lyle Muller,"Assistant Professor, Department of Applied Mathematics, Western University",Lyle Muller,Lyle Muller,Lyle Muller,Lyle Muller,Lyle Muller,Lyle Muller
Edward Callaway,The Salk Institute,Edward Callaway,Edward Callaway,Edward Callaway,Edward Callaway,Edward Callaway,Edward Callaway
Cory Miller,University of California San Diego,Cory Miller,Cory Miller,Cory Miller,Cory Miller,Cory Miller,Cory Miller
David J Heeger,"Professor of Psychology and Neural Science, New York University",David J Heeger,David J Heeger,David J Heeger,David J Heeger,David J Heeger,David J Heeger
Tatyana Sharpee,Unknown affiliation,Tatyana Sharpee,Tatyana Sharpee,Tatyana Sharpee,Tatyana Sharpee,Tatyana Sharpee,Tatyana Sharpee
Ali Haydar Cetin,Stanford University,Ali Haydar Cetin,Ali Haydar Cetin,Ali Haydar Cetin,Ali Haydar Cetin,Ali Haydar Cetin,Ali Haydar Cetin
Anna Wang Roe,Zhejiang University,Anna Wang Roe,Anna Wang Roe,Anna Wang Roe,Anna Wang Roe,Anna Wang Roe,Anna Wang Roe
Tony Movshon,"Professor, New York University",Tony Movshon,Tony Movshon,Tony Movshon,Tony Movshon,Tony Movshon,Tony Movshon
Dario Ringach,"Professor of Neurobiology, University of California, Los Angeles",Dario Ringach,Dario Ringach,Dario Ringach,Dario Ringach,Dario Ringach,Dario Ringach
Peter L. Strick,"Professor of Neurobiology, University of Pittsburgh",Peter L. Strick,Peter L. Strick,Peter L. Strick,Peter L. Strick,Peter L. Strick,Peter L. Strick
Juergen Gall,University of Bonn,Juergen Gall,Juergen Gall,Juergen Gall,Juergen Gall,Juergen Gall,Juergen Gall
Alexander Richard,"Research Scientist, Facebook Reality Labs",Alexander Richard,Alexander Richard,Alexander Richard,Alexander Richard,Alexander Richard,Alexander Richard
Tanja Schultz,"Professor of Computer Science, University Bremen",Tanja Schultz,Tanja Schultz,Tanja Schultz,Tanja Schultz,Tanja Schultz,Tanja Schultz
Rogerio Feris,"Research Manager, MIT-IBM Watson AI Lab",Rogerio Feris,Rogerio Feris,Rogerio Feris,Rogerio Feris,Rogerio Feris,Rogerio Feris
Ahsan Iqbal,"University of Bonn, Germany",Ahsan Iqbal,Ahsan Iqbal,Ahsan Iqbal,Ahsan Iqbal,Ahsan Iqbal,Ahsan Iqbal
David Harwath,The University of Texas at Austin,David Harwath,David Harwath,David Harwath,David Harwath,David Harwath,David Harwath
Samuel Thomas,IBM Research AI,Samuel Thomas,Samuel Thomas,Samuel Thomas,Samuel Thomas,Samuel Thomas,Samuel Thomas
Andrew Rouditchenko,PhD Student at MIT CSAIL,Andrew Rouditchenko,Andrew Rouditchenko,Andrew Rouditchenko,Andrew Rouditchenko,Andrew Rouditchenko,Andrew Rouditchenko
Rameswar Panda,"Research Staff Member, MIT-IBM Watson AI Lab",Rameswar Panda,Rameswar Panda,Rameswar Panda,Rameswar Panda,Rameswar Panda,Rameswar Panda
Brian Kingsbury,"Distinguished Research Staff Member and Manager, IBM T. J. Watson Research Center, Yorktown Heights",Brian Kingsbury,Brian Kingsbury,Brian Kingsbury,Brian Kingsbury,Brian Kingsbury,Brian Kingsbury
Anna Kukleva,Max Planck Institute for Informatics,Anna Kukleva,Anna Kukleva,Anna Kukleva,Anna Kukleva,Anna Kukleva,Anna Kukleva
Angie Boggust,Massachusetts Institute of Technology,Angie Boggust,Angie Boggust,Angie Boggust,Angie Boggust,Angie Boggust,Angie Boggust
Michael Alan Picheny,NYU - Courant CS and CDS,Michael Alan Picheny,Michael Alan Picheny,Michael Alan Picheny,Michael Alan Picheny,Michael Alan Picheny,Michael Alan Picheny
Michael Bowling,University of Alberta / DeepMind,Michael Bowling,Michael Bowling,Michael Bowling,Michael Bowling,Michael Bowling,Michael Bowling
Csaba Szepesvari,DeepMind & University of Alberta,Csaba Szepesvari,Csaba Szepesvari,Csaba Szepesvari,Csaba Szepesvari,Csaba Szepesvari,Csaba Szepesvari
Christoph Dann,"Research Scientist, Google",Christoph Dann,Christoph Dann,Christoph Dann,Christoph Dann,Christoph Dann,Christoph Dann
Finale Doshi-Velez,"Professor, Harvard",Finale Doshi-Velez,Finale Doshi-Velez,Finale Doshi-Velez,Finale Doshi-Velez,Finale Doshi-Velez,Finale Doshi-Velez
Will Dabney,DeepMind,Will Dabney,Will Dabney,Will Dabney,Will Dabney,Will Dabney,Will Dabney
Vadim Bulitko,"Professor of Computing Science, University of Alberta",Vadim Bulitko,Vadim Bulitko,Vadim Bulitko,Vadim Bulitko,Vadim Bulitko,Vadim Bulitko
David Wingate,"Assistant professor of Computer Science, Brigham Young University",David Wingate,David Wingate,David Wingate,David Wingate,David Wingate,David Wingate
Jafar Habibi,"Associate Professor, Department of Computer Engineering, Sharif University of Technology",Jafar Habibi,Jafar Habibi,Jafar Habibi,Jafar Habibi,Jafar Habibi,Jafar Habibi
Trevor Campbell,"Assistant Professor, Statistics, UBC",Trevor Campbell,Trevor Campbell,Trevor Campbell,Trevor Campbell,Trevor Campbell,Trevor Campbell
Jan-Mathijs Schoffelen,"Staff scientist, Donders Institute for Brain, Cognition and Behaviour",Jan-Mathijs Schoffelen,Jan-Mathijs Schoffelen,Jan-Mathijs Schoffelen,Jan-Mathijs Schoffelen,Jan-Mathijs Schoffelen,Jan-Mathijs Schoffelen
Eric Maris,"Donders Institute, for Brain, Cognition and Behaviour. Radboud University.",Eric Maris,Eric Maris,Eric Maris,Eric Maris,Eric Maris,Eric Maris
Ole Jensen,"School of Psychology, University of Birmingham",Ole Jensen,Ole Jensen,Ole Jensen,Ole Jensen,Ole Jensen,Ole Jensen
Peter Hagoort,"Professor of Cognitive Neuroscience, Max Planck Institute for Psycholinguistics",Peter Hagoort,Peter Hagoort,Peter Hagoort,Peter Hagoort,Peter Hagoort,Peter Hagoort
Vladimir Litvak,UCL Queen Square Institute of Neurology,Vladimir Litvak,Vladimir Litvak,Vladimir Litvak,Vladimir Litvak,Vladimir Litvak,Vladimir Litvak
Conrado A. Bosman,"Assistant Professor, Cognitive & Systems Neuroscience Group, Swammerdam Institute for Life Sciences",Conrado A. Bosman,Conrado A. Bosman,Conrado A. Bosman,Conrado A. Bosman,Conrado A. Bosman,Conrado A. Bosman
Guillén Fernández,"Professor of Cognitive Neuroscience, Donders Institute, Radboud University Nijmegen Medical Centre",Guillén Fernández,Guillén Fernández,Guillén Fernández,Guillén Fernández,Guillén Fernández,Guillén Fernández
Marcel Bastiaansen,"Senior lecturer and researcher, Breda University of Applied Sciences & Tilburg University",Marcel Bastiaansen,Marcel Bastiaansen,Marcel Bastiaansen,Marcel Bastiaansen,Marcel Bastiaansen,Marcel Bastiaansen
Andreas K. Engel,"Director, Dept. of Neurophysiology and Pathophysiology, University Medical Center Hamburg-Eppendorf",Andreas K. Engel,Andreas K. Engel,Andreas K. Engel,Andreas K. Engel,Andreas K. Engel,Andreas K. Engel
Karl Friston,University College London,Karl Friston,Karl Friston,Karl Friston,Karl Friston,Karl Friston,Karl Friston
Arnaud Delorme,"CNRS, UCSD, Paul Sabatier university, CerCo, TMBI, Institute of Noetic Sciences",Arnaud Delorme,Arnaud Delorme,Arnaud Delorme,Arnaud Delorme,Arnaud Delorme,Arnaud Delorme
Karl Magnus Petersson @kmpetersson,"Neurobiology of Language, MPI for Psycholinguistics",Karl Magnus Petersson @kmpetersson,Karl Magnus Petersson @kmpetersson,Karl Magnus Petersson @kmpetersson,Karl Magnus Petersson @kmpetersson,Karl Magnus Petersson @kmpetersson,Karl Magnus Petersson @kmpetersson
gareth barnes,University college london,gareth barnes,gareth barnes,gareth barnes,gareth barnes,gareth barnes,gareth barnes
Scott Makeig,"Director, Swartz Center for Computational Neuroscience, Institute for Neural Computation, UCSD",Scott Makeig,Scott Makeig,Scott Makeig,Scott Makeig,Scott Makeig,Scott Makeig
Markus Bauer,University of Nottingham,Markus Bauer,Markus Bauer,Markus Bauer,Markus Bauer,Markus Bauer,Markus Bauer
Tobias H. Donner,"Professor of Integrative Neuroscience, Dept. of Neurophysiology, UKE Hamburg",Tobias H. Donner,Tobias H. Donner,Tobias H. Donner,Tobias H. Donner,Tobias H. Donner,Tobias H. Donner
Giulio Sandini,"Istituto Italiano di Tecnologia - Robotics, Brain and Cognitive Sciences",Giulio Sandini,Giulio Sandini,Giulio Sandini,Giulio Sandini,Giulio Sandini,Giulio Sandini
Alessandra Sciutti,"CONTACT Unit, Istituto Italiano di Tecnologia",Alessandra Sciutti,Alessandra Sciutti,Alessandra Sciutti,Alessandra Sciutti,Alessandra Sciutti,Alessandra Sciutti
"Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","VAMPIRE/CVIP, Computing, University of Dundee","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA","Emanuele Trucco, FRSA, FIAPR, FBMVA, FAAIA"
Elisabetta Delponte,Konica Minolta,Elisabetta Delponte,Elisabetta Delponte,Elisabetta Delponte,Elisabetta Delponte,Elisabetta Delponte,Elisabetta Delponte
Alessandra Stagliano,UNIGE,Alessandra Stagliano,Alessandra Stagliano,Alessandra Stagliano,Alessandra Stagliano,Alessandra Stagliano,Alessandra Stagliano
Ilaria Gori,Facebook,Ilaria Gori,Ilaria Gori,Ilaria Gori,Ilaria Gori,Ilaria Gori,Ilaria Gori
Antonio Camurri,"Professor, University of Genoa, Italy",Antonio Camurri,Antonio Camurri,Antonio Camurri,Antonio Camurri,Antonio Camurri,Antonio Camurri
Stefano Piana,"Post-doc researcher at InfoMus Lab, University of Genoa, Italy",Stefano Piana,Stefano Piana,Stefano Piana,Stefano Piana,Stefano Piana,Stefano Piana
C De Mol,Université Libre de Bruxelles,C De Mol,C De Mol,C De Mol,C De Mol,C De Mol,C De Mol
Andrea Fusiello,"Associate Professor of Computer Science, University of Udine",Andrea Fusiello,Andrea Fusiello,Andrea Fusiello,Andrea Fusiello,Andrea Fusiello,Andrea Fusiello
Barbara Caputo,"DAUIN, Politecnico di Torino",Barbara Caputo,Barbara Caputo,Barbara Caputo,Barbara Caputo,Barbara Caputo,Barbara Caputo
Danny O'Hare,Unknown affiliation,Danny O'Hare,Danny O'Hare,Danny O'Hare,Danny O'Hare,Danny O'Hare,Danny O'Hare
Henry Markram,"Professor of Neuroscience, EPFL",Henry Markram,Henry Markram,Henry Markram,Henry Markram,Henry Markram,Henry Markram
Mauricio Barahona,"Imperial College London, Mathematics, Chair in Biomathematics",Mauricio Barahona,Mauricio Barahona,Mauricio Barahona,Mauricio Barahona,Mauricio Barahona,Mauricio Barahona
Erik W. Schomburg,California Institute of Technology,Erik W. Schomburg,Erik W. Schomburg,Erik W. Schomburg,Erik W. Schomburg,Erik W. Schomburg,Erik W. Schomburg
Yazan Billeh,Allen Institute for Brain Science,Yazan Billeh,Yazan Billeh,Yazan Billeh,Yazan Billeh,Yazan Billeh,Yazan Billeh
Adam S. Shai,Stanford University,Adam S. Shai,Adam S. Shai,Adam S. Shai,Adam S. Shai,Adam S. Shai,Adam S. Shai
Jennifer Tweedy (Siggers),"Senior Lecturer, Department of Bioengineering, Imperial College London",Jennifer Tweedy (Siggers),Jennifer Tweedy (Siggers),Jennifer Tweedy (Siggers),Jennifer Tweedy (Siggers),Jennifer Tweedy (Siggers),Jennifer Tweedy (Siggers)
Bhavik Anil Patel,"Professor of Clinical and Bioanalytical Chemistry, University of Brighton",Bhavik Anil Patel,Bhavik Anil Patel,Bhavik Anil Patel,Bhavik Anil Patel,Bhavik Anil Patel,Bhavik Anil Patel
Sean L. Hill,"Professor, University of Toronto; Director - Krembil Centre for Neuroinformatics, CAMH; EPFL, Geneva",Sean L. Hill,Sean L. Hill,Sean L. Hill,Sean L. Hill,Sean L. Hill,Sean L. Hill
Matthew Larkum,Humboldt University of Berlin,Matthew Larkum,Matthew Larkum,Matthew Larkum,Matthew Larkum,Matthew Larkum,Matthew Larkum
Jiannis Taxidis,UCLA,Jiannis Taxidis,Jiannis Taxidis,Jiannis Taxidis,Jiannis Taxidis,Jiannis Taxidis,Jiannis Taxidis
Nicolas Ducros,"University of Lyon, Biomedical Imaging Research Lab",Nicolas Ducros,Nicolas Ducros,Nicolas Ducros,Nicolas Ducros,Nicolas Ducros,Nicolas Ducros
Peter König,"Cognitive Science, University Osnabrück",Peter König,Peter König,Peter König,Peter König,Peter König,Peter König
Marnix Naber,"Experimental Psychology, Helmholtz Institute, Utrecht University, The Netherlands",Marnix Naber,Marnix Naber,Marnix Naber,Marnix Naber,Marnix Naber,Marnix Naber
Bernard Marius 't Hart,"York University, Toronto",Bernard Marius 't Hart,Bernard Marius 't Hart,Bernard Marius 't Hart,Bernard Marius 't Hart,Bernard Marius 't Hart,Bernard Marius 't Hart
Josef Stoll,"PhD Student, Neurophysics, Philipps-Universität Marburg",Josef Stoll,Josef Stoll,Josef Stoll,Josef Stoll,Josef Stoll,Josef Stoll
